Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
BTCUSDT,2018-08-17,6316.00000000,6585.00000000,6285.40000000,6584.49000000,57851.61080300,2018-08-17 23:59:59.999,374472431.72358120,296730,32407.88455200,209831423.42862131,0
BTCUSDT,2018-08-18,6579.04000000,6620.00000000,6288.00000000,6387.96000000,53742.32217200,2018-08-18 23:59:59.999,345964004.36572125,276121,29469.81048500,189808853.55518274,0
BTCUSDT,2018-08-19,6387.96000000,6541.00000000,6300.00000000,6477.53000000,45190.84799400,2018-08-19 23:59:59.999,289271954.55326532,190758,25368.61327200,162405728.97807813,0
BTCUSDT,2018-08-20,6477.53000000,6530.00000000,6220.00000000,6254.84000000,49435.55526000,2018-08-20 23:59:59.999,317617945.74926080,237055,26468.01709100,170185693.09984116,0
BTCUSDT,2018-08-21,6251.00000000,6500.00000000,6235.08000000,6480.00000000,41569.94740800,2018-08-21 23:59:59.999,265458342.78172061,180578,23219.82397300,148276323.26185246,0
BTCUSDT,2018-08-22,6479.98000000,6882.54000000,6251.20000000,6360.89000000,77909.39135900,2018-08-22 23:59:59.999,512501182.20290209,326562,40431.00200200,266272244.80136198,0
BTCUSDT,2018-08-23,6362.57000000,6576.99000000,6342.28000000,6525.01000000,40358.16682500,2018-08-23 23:59:59.999,259786384.55491505,187637,22134.60323600,142492145.48212315,0
BTCUSDT,2018-08-24,6525.00000000,6725.00000000,6440.50000000,6681.64000000,38305.67532200,2018-08-24 23:59:59.999,251513064.47447148,180167,21280.93582400,139769204.20736691,0
BTCUSDT,2018-08-25,6686.98000000,6789.00000000,6650.61000000,6733.64000000,19220.50592900,2018-08-25 23:59:59.999,129083702.47542232,122483,9829.84948400,66019304.90679335,0
BTCUSDT,2018-08-26,6733.64000000,6775.27000000,6568.00000000,6700.00000000,20107.29720800,2018-08-26 23:59:59.999,134117930.39575019,130769,9897.25037700,66041984.74840774,0
BTCUSDT,2018-08-27,6700.00000000,6940.51000000,6646.50000000,6908.64000000,37747.07874700,2018-08-27 23:59:59.999,254214730.31712420,205441,21458.10184300,144536972.85790138,0
